ID,testlogloss,trainlogloss,eta,nrounds,num_parallel_tree,max_depth,max_delta_step,colsample_bynode,colsample_bylevel,colsample_bytree,subsample,grow_policy,tree_method,booster,alpha,lambda,objective,with_pca,with_important_only,drop_ctl,DirectoryPath,c_pca_thresh
1,0.0167932922753861,,0.05,300,10,1,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
2,0.0173242875166326,,0.05,200,10,1,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
3,0.0167693296297563,,0.1,300,10,1,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
4,0.0171046256603326,,0.15,300,10,1,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
5,0.0175522467122345,,0.2,300,10,1,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
6,0.0173222212996841,,0.05,200,10,1,5,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
7,0.0167961895997366,,0.05,300,10,1,5,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
8,0.0167807423521069,,0.1,300,10,1,5,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
9,0.0171245015547474,,0.15,300,10,1,5,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
10,0.0168124139396183,,0.05,200,10,2,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
11,0.0175566066982315,,0.2,300,10,1,5,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
12,0.0166330281185703,,0.05,300,10,2,0,0.5,0.5,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.9
