# X0,X1,X2,X3
-6.191370614587278887e+00,3.336383756059893813e+01,1.126448477572329310e+01,2.844834840853121549e-01
-1.933991713707194293e+01,-1.000034122832010652e+01,3.219845809578173146e+01,-1.439724815944826375e+00
1.705582192895664662e+01,-5.701151024646996746e+00,1.444804392597939524e-01,-1.244594059288948174e+01
5.562143437895576170e+01,-1.037280179014821258e+01,4.428602784865665498e+00,-4.379463100920069962e+00
-1.354693067403903717e+00,2.411894758797729210e+01,3.806018502432299755e+01,5.669086860897422753e+00
-3.385346431537421807e+01,4.876559053242978337e+00,2.924419309196568673e+00,4.153433675907031386e+00
-1.037096058157825063e+01,3.229315280636354757e+00,-2.327933795468253919e+01,-3.703622527080032967e+01
-2.529276474031470379e+00,-5.944525774708233712e+01,-9.838691869037059945e+00,3.366508369546441504e-01
-2.705649908864971032e+00,2.115856419526760490e+01,-5.507793239057085621e+00,1.404444366017224510e+01
1.741779519726863512e+01,-7.164043986576633660e-01,-9.715809032488452956e+00,1.105266568284533690e+01
-2.253616658641342951e+01,2.829186565483336580e+01,8.887814295259181208e+00,-9.450511413380974446e+00
1.583823408907478658e+01,1.051501928033390953e+01,-1.504440995037989737e+01,8.828917266991274104e+00
-2.551839330955829510e+01,2.391795557359370861e+01,1.110231220007824682e+01,-6.342792936048614827e+00
-5.962173168443382743e+00,2.843709183138271612e+01,3.746714028356568349e+01,5.578418639065805706e+00
3.572939483238333480e+01,-3.995614880653452161e+01,-5.134607954906099003e+00,-1.729257429946321167e+01
2.280027986641683935e-01,-3.283299804903708097e+00,4.138815175662816870e+01,3.150080127258914620e-01
5.569867633312110655e+01,-3.955529694169251087e+01,-1.526978814232626114e+01,4.837011305228302582e+00
-1.264503492084655889e+01,-9.438919835160724858e+00,2.829853044346161361e+00,-3.889922360194820961e+00
4.221040677359827953e+01,-1.593113965191997572e+01,3.613862102962375644e+00,-1.904841081213155762e+00
-1.965688000238176869e+01,-1.547124124536659728e+01,1.793027645602331077e+01,-1.127731035307447272e+01
5.077436243878489464e+00,-2.875189820222209924e+00,-7.365788690012796458e+00,9.085329749402806243e+00
-2.266168414030126588e+00,3.093917118484118589e+01,6.663602465366555094e+00,1.127347289397686936e+01
-1.663013275043870465e+01,9.461865080402911410e-01,-1.451733108708069508e+01,2.982819249429089048e+00
-3.046440013062252916e+01,6.588222240980174949e-01,-2.152542442593507488e+01,5.498200166695141000e+00
-2.999419361428559583e+01,3.960906247010800030e+01,-2.035675603138007439e+00,1.550956410925814133e+01
-3.359272695277515908e+01,5.500948231975692160e+00,-1.179006805480868003e+01,-3.257823843962817545e+00
-2.847478414966794702e+01,-8.097166821989798535e+00,2.089791643711136970e+01,-3.922819892172585643e+00
-2.336296642906007648e+01,2.342476663089643196e+01,5.934195992717929080e+00,-6.400484236848978270e+00
-4.014947208502158560e+01,2.074255253131346421e+01,6.921825168691789543e+00,-1.362622266125715953e+01
-2.173677982264339903e+01,1.109667007849271525e-01,3.738785721865343703e+01,-1.935709892492334827e+00
-3.923888580183684027e+00,2.069378896356269948e+01,-6.230580024367966541e-01,1.992973536182442729e+01
